name, standard, unit, calories, protein, fat, carbohydrates
nuts, 1/4, cup, 180, 5, 13, 15
greek yogurt, 1/4, cup, 30, 5, 0, 2
granola, 1/3, cup, 110, 3, 3, 19
avena, 1/4, cup, 75, 2.5, 1.5, 13.5
chia, 1, tbsp, 75, 2.5, 4.5, 6.5
cashew milk, 1/4, cup, 32.5, 1, 2.5, 2
miel, 1, tbsp, 60, 0, 0, 17
fresa, 5, grandes, 30, 0.65, 1.5, 7.25
blueberry, 5, unidades, 5, 0.0625, 0, 1.25
platano, 1, grande, 120, 1.5, 0.4, 30
huevo, 1, grande, 80, 7, 5.5, 0
espinaca, 1/2, cup, 2.5, 0.25, 0, 0.375
cherry tomato, 1/4, cup, 6, 0.25, 0, 1.5
tostada, 1, slice, 90, 5, 2, 15
atun, 1/3, cup, 80, 19, 0.5, 0
cebolla, 1/2, grandes, 32, 1, 0, 7
galleta de soda, 5, galletas, 70, 1, 1.5, 13
tortilla, 1, tortilla, 110, 9, 6, 30
pollo, 1, pechuga, 200, 37, 4.3, 0
palta, 1, mediana, 190, 2.7, 21, 12
papita, 5, papitas, 110, 3, 0, 26
papa blanca, 1, mediana, 110, 3, 0, 25
beterraga, 1, caja, 100, 5, 0, 20
chocolo, 1/2, cup, 45, 1.5, 0.5, 11
arveja y zanahoria, 1/2, cup, 37.5, 2.25, 0, 7.5
mayonesa, 1/4, cup, 190, 0.25, 0.25, 1
olive oil, 1, tbsp, 130, 0, 14, 0
pear, 1, mediana, 130, 0.8, 0.3, 35
quinoa, 1/4, cup, 160, 5, 2, 27
queso fresco, 1/8, piece, 120, 9, 9, 1.5
pumpkin seed, 1/4, cup, 180, 9, 14, 10
protein oats, 1/3, cup, 190, 12, 2.5, 31
pan integral, 1, slice, 170, 6, 4, 28
